Latitud,Longitud
"46,344,966","-740,793,621"
"46,627,219","-74,133,144"
"4,718,548","-741,021,533"
"46,876,237","-740,594,443"
"45,722,162","-741,510,957"
"46,495,135","-741,470,315"
"47,433,237","-740,386,706"
"46,502,195","-740,643,551"
"45,755,341","-741,609,492"
"46,052,994","-740,788,167"
"45,707,721","-741,290,054"
"46,664,189","-741,113,885"
"46,874,716","-74,056,557"
"46,004,741","-741,178,131"
"46,902,569","-740,657,715"
"45,020,445","-741,162,737"
"47,304,195","-740,931,843"
"4,610,475","-742,048,132"
"414,678,493","-26,071,114"
"46,385,093","-741,585,221"
"46,856,944","-741,469,861"
"47,260,588","-740,710,269"
"46,087,973","-742,011,037"
"46,302,923","-741,334,546"
"468,146","-7,411,708"
"4,587,137","-741,074,539"
"46,020,238","-74,131,257"
"45,763,393","-740,951,597"
"46,372,014","-740,655,917"
"4,665,642","-740,528,821"
"46,888,309","-741,572,594"
"47,407,259","-740,427,491"
"4,592,646","-741,369,778"
"4,694,428","-740,365,073"
"46,671,201","-740,228,839"
"47,253,526","-740,692,635"
"45,690,748","-741,203,712"
"266,361,028","-811,274,059"
"46,592,033","-740,988,497"
"4,698,731","-74,051,745"
"46,359,713","-740,792,352"
"46,236,928","-741,386,493"
"46,526,982","-740,565,159"
"4,600,371","-740,892,956"
"47,427,312","-740,587,347"
"47,507,275","-740,649,402"
"47,630,291","-740,274,624"
"3,709,024","-95,712,891"
"46,067,835","-74,199,236"
"45,996,867","-741,632,942"
"46,887,808","-740,783,633"
"46,337,683","-741,155,362"
"47,097,366","-741,116,863"
"45,991,545","-741,808,085"
"45,944,245","-740,907,996"
"45,880,747","-741,406,559"
"46,803,567","-741,001,764"
"46,882,329","-741,287,484"
"46,459,557","-741,480,584"
"47,060,164","-740,711,646"
"47,419,189","-740,991,591"
"46,081,167","-742,071,596"
"47,120,194","-741,437,318"
"45,803,822","-741,424,442"
"45,468,136","-741,386,476"
"46,629,646","-74,109,003"
"46,668,577","-740,682,922"
"4,651,542","-741,129,602"
"45,804,892","-741,074,673"
"4,676,105","-741,423,808"
"4,627,151","-741,421,639"
"47,326,229","-740,669,481"
"46,903,133","-740,931,524"
"46,492,454","-74,064,517"
"47,273,808","-74,062,701"
"46,516,871","-741,065,142"
"45,858,883","-741,062,476"
"46,644,343","-741,317,821"
"46,733,482","-74,099,932"
"46,472,798","-741,090,122"
"46,330,353","-740,708,964"
"4,524,511","-741,199,636"
"46,582,365","-740,576,521"
"47,218,795","-740,969,471"
"47,191,218","-740,527,115"
"380,491,241","-844,924,419"
"46,680,436","-741,285,706"
"45,498,908","-74,150,608"
"46,129,315","-74,137,213"
"109,376,102","-747,957,116"
"47,232,355","-741,144,641"
"45,902,497","-740,779,784"
"46,874,464","-740,836,809"
"46,185,679","-741,801,915"
"47,113,782","-74,113,619"
"45,420,294","-741,460,662"
"45,767,311","-741,045,085"
"47,645,069","-74,037,075"
"46,532,073","-741,429,651"
"47,602,664","-74,039,226"
"47,373,405","-740,288,213"
"4,635,843","-74,066,966"
"47,520,919","-740,871,822"
"45,911,934","-741,418,368"
"4,753,578","-740,581,087"
"47,215,219","-740,517,585"
"47,189,472","-740,755,074"
"4,601,543","-741,341,229"
"46,155,651","-741,055,976"
"45,981,029","-741,540,918"
"46,481,679","-740,945,004"
"47,044,098","-741,045,296"
"46,445,953","-740,747,904"
"46,893,897","-741,038,069"
"47,023,698","-740,812,693"
"45,742,241","-741,369,642"
"47,601,674","-740,333,264"
"46,027,985","-741,071,807"
"46,507,295","-740,582,589"
"47,526,936","-740,506,097"
"45,089,346","-741,108,283"
"46,156,822","-740,932,757"
"46,721,592","-74,125,359"
"47,073,452","-741,206,021"
"46,801,081","-741,523,771"
"46,140,101","-741,753,566"
"26,345,079","-80,182,642"
"46,112,814","-741,894,145"
"45,638,569","-74,099,973"
"47,002,769","-741,138,131"
"4,628,655","-74,151,237"
"46,743,304","-740,658,353"
"46,714,456","-741,068,981"
"45,998,852","-741,595,486"
"46,561,751","-741,409,787"
"4,612,652","-740,743,501"
"385,958,677","-903,243,603"
"46,048,487","-741,318,213"
"46,050,598","-741,646,954"
"459,383,731","142,405,045"
"34,635,063","-765,252,906"
"47,001,084","-740,583,498"
"324,887,298","-947,124,704"
"47,538,012","-740,905,864"
"4,652,481","-741,133,042"
"47,411,228","-740,229,758"
"4,643,023","-74,119,431"
"470,659","-74,071,023"
"47,260,612","-74,071,025"
"45,996,839","-74,135,367"
"46,884,093","-740,349,765"
"47,426,167","-741,118,939"
"46,065,083","-741,432,814"
"46,873,624","-740,981,376"
"46,373,665","-74,138,756"
"46,254,778","-74,209,475"
"47,049,393","-741,087,377"
"41,491,688","-736,285,475"
"46,518,427","-740,639,907"
"47,473,135","-741,121,938"
"4,587,753","-741,670,711"
"46,994,914","-74,049,721"
"4,575,173","-741,398,479"
"26,636,455","-81,103,613"
"47,607,586","-740,468,115"
"47,129,071","-740,327,509"
"45,505,844","-741,505,685"
"45,669,227","-741,467,796"
"45,966,809","-740,957,715"
"4,727,707","-740,244,989"
"46,074,614","-742,011,109"
"46,792,216","-741,090,025"
"4,706,023","-741,188,268"
"47,314,927","-740,889,641"
"62,745,615","-755,665,583"
"4,608,354","-741,845,694"
"47,092,752","-741,311,505"
"393,040,419","-765,976,987"
"4,509,291","-741,468,765"
"46,713,942","-741,560,146"
"46,398,805","-741,222,057"
"46,762,144","-741,027,763"
"4,740,931","-741,281,021"
"45,763,773","-741,252,694"
"46,198,265","-741,058,447"
"46,813,961","-740,988,834"
"45,915,412","-741,689,882"
"47,506,038","-741,036,186"
"46,369,032","-741,546,302"
"45,610,314","-741,407,353"
"45,756,094","-741,154,287"
"350,886,963","-924,421,011"
"47,199,056","-740,584,082"
"46,212,307","-741,474,074"
"46,400,139","-741,682,927"
"46,617,952","-741,158,792"
"47,640,157","-740,324,937"
"46,038,485","-74,179,983"
"46,895,178","-740,935,988"
"47,053,642","-740,708,019"
"46,401,046","-741,835,645"
"46,203,799","-741,868,678"
"4,579,462","-741,276,409"
"456,724","-7,413,823"
"468,998","-7,409,337"
"459,472","-7,417,657"
"46,504,119","-741,459,877"
"46,727,177","-740,430,798"
"407,794,366","-73,963,244"
"47,029,877","-740,707,653"
"46,109,329","-741,823,981"
"46,054,651","-7,407,882"
"46,229,498","-741,014,824"
"45,600,048","-741,275,269"
"46,168,016","-741,304,071"
"46,731,944","-740,869,465"
"47,262,355","-740,954,556"
"47,390,015","-740,646,155"
"47,182,265","-740,481,423"
"46,643,954","-741,051,659"
"47,131,021","-740,977,008"
"46,239,957","-741,533,099"
"45,835,021","-741,133,421"
"46,610,092","-740,603,594"
"45,629,985","-741,444,335"
"46,543","-7,405,807"
"46,147,081","-741,591,688"
"4,687,536","-74,094,431"
"46,963,093","-740,870,314"
"47,347,586","-741,001,917"
"46,719,114","-741,064,912"
"45,980,341","-74,188,296"
"47,537,092","-740,905,267"
"46,232,034","-741,679,228"
"46,144,933","-741,746,528"
"4,598,936","-7,419,444"
"47,101,544","-740,945,173"
"40,601,105","-831,374,041"
"46,104,953","-741,960,815"
"46,952,806","-740,684,741"
"45,603,081","-74,138,621"
"46,916,901","-741,483,355"
"4,742,134","-740,615,755"
"46,237,552","-740,693,729"
"4,586,919","-7,416,689"
"465,202","-7,405,948"
"46,113,883","-741,284,234"
"46,346,658","-740,750,863"
"46,782,195","-740,562,042"
"46,016,325","-741,196,891"
"302,547,092","-977,167,164"
"47,198,438","-740,903,097"
"47,024,065","-741,172,811"
"45,777,272","-741,292,335"
"4,550,359","-74,094,872"
"46,765,305","-741,038,278"
"46,175,071","-741,610,185"
"46,285,825","-740,682,926"
"46,326,243","-741,540,506"
"4,619,262","-741,645,496"
"46,116,752","-741,447,829"
"109,171,191","-747,991,506"
"46,804,873","-74,049,058"
"45,801,778","-741,007,824"
"47,464,441","-741,241,337"
"4,612,532","-741,827,395"
"47,703,036","-740,359,241"
"47,104,552","-740,949,252"
"46,209,895","-74,071,174"
"4,717,957","-741,027,144"
"46,549,202","-741,061,508"
"328,998,091","-970,403,352"
"4,667,417","-741,411,769"
"45,861,511","-741,108,541"
"46,704,027","-741,146,386"
"45,664,564","-741,429,319"
"46,157,664","-74,088,202"
"46,304,356","-741,407,412"
"4,677,107","-741,293,638"
"45,919,797","-740,890,584"
"4,681,643","-74,042,264"
"47,085,902","-740,616,911"
"45,983,045","-740,792,764"
"46,640,072","-741,103,916"
"46,703,071","-741,438,398"
"45,965,524","-74,090,912"
"46,974,246","-740,350,248"
"4,752,497","-740,446,017"
"45,870,242","-740,814,493"
"4,730,677","-740,897,725"
"47,022,765","-740,419,693"
"46,728,795","-741,054,727"
"4,626,476","-741,680,162"
"46,841,669","-740,885,885"
"46,064,644","-741,308,578"
"46,406,286","-741,404,904"
"4,688,513","-74,101,704"
"29,788,285","-956,492,083"
"46,663,267","-741,302,369"
"10,248,939","-753,546,784"
"46,030,895","-741,854,072"
"4,693,157","-740,672,168"
"47,610,266","-740,300,165"
"46,983,794","-740,817,218"
"46,974,641","-741,242,724"
"47,377,212","-740,849,822"
"4,749,126","-741,005,745"
"4,602,588","-74,072,552"
"46,226,132","-741,461,072"
"47,114,304","-740,534,388"
"47,115,796","-740,539,584"
"46,814,397","-741,339,669"
"47,199,379","-740,947,074"
"47,227,307","-740,390,438"
"47,441,477","-741,200,126"
"47,036,404","-741,000,844"
"47,098,516","-740,801,674"
"45,831,117","-741,105,053"
"46,849,319","-740,968,105"
"47,187,204","-741,288,288"
"46,850,288","-741,002,778"
"46,721,428","-740,639,537"
"45,915,407","-741,689,729"
"4,604,517","-741,621,549"
"47,236,264","-740,730,029"
"414,841,799","-25,295,739"
"46,161,592","-741,632,626"
"47,050,697","-741,027,402"
"4,605,749","-741,254,133"
"46,382,232","-74,167,349"
"46,419,128","-741,550,203"
"46,874,592","-740,950,747"
"46,175,728","-741,399,334"
"47,111,411","-740,719,993"
"46,292,212","-740,737,771"
"46,081,237","-74,177,426"
"327,874,236","-79,929,154"
"47,424,276","-740,581,115"
"473,197","-740,865,478"
"47,351,816","-741,076,159"
"45,623,949","-741,432,096"
"46,958,368","-740,432,486"
"4,634,029","-74,199,175"
"46,010,102","-741,432,142"
"4,594,942","-741,452,238"
"46,978,544","-740,930,676"
"449,543,291","-931,047,081"
"4,605,097","-741,858,761"
"45,078,971","-741,105,368"
"46,694,554","-740,804,948"
"47,115,591","-741,134,694"
"46,054,209","-741,315,272"
"47,362,533","-740,620,351"
"46,016,298","-741,196,848"
"46,395,478","-740,787,938"
"46,673,197","-741,050,979"
